ᆜ	j ɯ	jㅡ
고가	k o̞ k͈ a̠	고까
고갈	k o̞ ɡ a̠ ɭ	고갈
고금	k o̞ː ɡ ɯ m	고금
고금동서	k o̞ː ɡ ɯ m d o̞ ŋ sʰ ʌ̹	고금동서
고기	k o̞ ɡ i	고기
고기숨구멍	k o̞ ɡ i sʰ u m ɡ u m ʌ̹ ŋ	고기숨구멍
고기후학	k o̞ː ɡ i β u ɦ a̠ k̚	고기후학
고나리	k o̞ n a̠ ɾ i	고나리
고나리질	k o̞ n a̠ ɾ i d͡ʑ i ɭ	고나리질
고단수	k o̞ d a̠ n sʰ u	고단수
고독사	k o̞ d o̞ k s͈ a̠	고독싸
고동	k o̞ d o̞ ŋ	고동
고동물학	k o̞ː d o̞ ŋ m u ɾ ɦ a̠ k̚	고동물학
고되다	k o̞ d w e̞ d a̠	고되다
고두	k o̞ d u	고두
고두하다	k o̞ d u ɦ a̠ d a̠	고두하다
고둥	k o̞ d u ŋ	고둥
고드름	k o̞ d ɯ ɾ ɯ m	고드름
고딕체	k o̞ d i k̚ t͡ɕʰ e̞	고딕체
고레말	k o̞ ɾ e̞ m a̠ ɭ	고레말
고로케	k o̞ ɾ o̞ kʰ e̞	고로케
고르고	k o̞ ɾ ɯ ɡ o̞	고르고
고리도롱뇽	k o̞ ɾ i d o̞ ɾ o̞ ŋ ɲ o ŋ	고리도롱뇽
고리무늬물범	k o̞ ɾ i m u n i m u ɭ b ʌ̹ m	고리무니물범
고리짝	k o̞ ɾ i t͡ɕ͈ a̠ k̚	고리짝
고립지	k o̞ ɾ i p̚ t͡ɕ͈ i	고립찌
고막	k o̞ m a̠ k̚	고막
고명	k o̞ m j ʌ̹ ŋ	고명
고명하다	k o̞ m j ʌ̹ ŋ ɦ a̠ d a̠	고명하다
고무락고무락	k o̞ m u ɾ a̠ k̚ k͈ o̞ m u ɾ a̠ k̚	고무락꼬무락
고문관	k o̞ m u n ɡ w a̠ n	고문관
고문하다	k o̞ m u n ɦ a̠ d a̠	고문하다
고물	k o̞ m u ɭ	고물
고물고물	k o̞ m u ɭ ɡ o̞ m u ɭ	고물고물
고발하다	k o̞ː b a̠ ɾ ɦ a̠ d a̠	고발하다
고방	k o̞ b a̠ ŋ	고방
고별	k o̞ b j ʌ̹ ɭ	고별
고뿌	k o̞ p͈ u	고뿌
고뿔	k o̞ p͈ u ɭ	고뿔
고사	k o̞ sʰ a̠	고사
고소인	k o̞ː sʰ o̞ i n	고소인
고소하다	k o̞ sʰ o̞ ɦ a̠ d a̠	고소하다
고열	k o̞ j ʌ̹ ɭ	고열
고용하다	k o̞ j o ŋ ɦ a̠ d a̠	고용하다
고위	k o̞ ɥ i	고위
고유명사	k o̞ j u m j ʌ̹ ŋ sʰ a̠	고유명사
고의	k o̞ː ɰ i	고의
고의사구	k o̞ː ɰ i sʰ a̠ː ɡ u	고의사구
고이다	k o̞ i d a̠	고이다
고인돌	k o̞ i n d o̞ ɭ	고인돌
고인류학	k o̞ː i ʎ ʎ u ɦ a̠ k̚	고일루학
고장	k o̞ d͡ʑ a̠ ŋ	고장
고조되다	k o̞ d͡ʑ o̞ d w e̞ d a̠	고조되다
고지혈증	k o̞ d͡ʑ i ʝ ʌ̹ ʎ d͡ʑ ɯ ŋ	고지헐증
고집불통	k o̞ d͡ʑ i p̚ p͈ u ɭ tʰ o̞ ŋ	고집뿔통
고체온	k o̞ t͡ɕʰ e̞ o̞ n	고체온
고추나물	k o̞ t͡ɕʰ u n a̠ m u ɭ	고추나물
고추자지	k o̞ t͡ɕʰ u d͡ʑ a̠ d͡ʑ i	고추자지
고치	k o̞ t͡ɕʰ i	고치
고치다	k o̞ t͡ɕʰ i d a̠	고치다
고하다	k o̞ː ɦ a̠ d a̠	고하다
곡	k o̞ k̚	곡
곡선	k o̞ k s͈ ʌ̹ n	곡썬
곡셱	k o̞ k ɕ͈ e̞ k̚	곡쎅
곡용	k o̞ ɡ j o ŋ	고굥
곡창	k o̞ k̚ t͡ɕʰ a̠ ŋ	곡창
곤경	k o̞ː n ɡ j ʌ̹ ŋ	곤경
곤난	k o̞ n n a̠ n	곤난
곤뇽	k o̞ n ɲ o ŋ	곤뇽
곤운	k o̞ n u n	고눈
골	k o̞ ɭ	골
골골	k o̞ ɭ ɡ o̞ ɭ	골골
골다	k o̞ː ɭ d a̠	골다
골짜구니	k o̞ ʎ t͡ɕ͈ a̠ ɡ u n i	골짜구니
골초	k o̞ ʎ t͡ɕʰ o̞	골초
골치	k o̞ ʎ t͡ɕʰ i	골치
골칫거리	k o̞ ʎ t͡ɕʰ i t̚ k͈ ʌ̹ ɾ i	골칟꺼리
골탄	k o̞ ɭ tʰ a̠ n	골탄
곬	k o̞ ɭ	골
곰	k o̞ː m	곰
곰소	k o̞ m sʰ o̞	곰소
곰솔	k o̞ m sʰ o̞ ɭ	곰솔
곰작	k o̞ m d͡ʑ a̠ k̚	곰작
곰작곰작	k o̞ m d͡ʑ a̠ k̚ k͈ o̞ m d͡ʑ a̠ k̚	곰작꼼작
곰지락	k o̞ m d͡ʑ i ɾ a̠ k̚	곰지락
곰지락곰지락	k o̞ m d͡ʑ i ɾ a̠ k̚ k͈ o̞ m d͡ʑ i ɾ a̠ k̚	곰지락꼼지락
곰탕	k o̞ m tʰ a̠ ŋ	곰탕
곰틀곰틀	k o̞ m tʰ ɯ ɭ ɡ o̞ m tʰ ɯ ɭ	곰틀곰틀
곱	k o̞ p̚	곱
곱다	k o̞ p̚ t͈ a̠	곱따
곱다랗다	k o̞ː p̚ t͈ a̠ ɾ a̠ tʰ a̠	곱따라타
곱사	k o̞ p s͈ a̠	곱싸
곱이곱이	k o̞ b i ɡ o̞ b i	고비고비
곱창	k o̞ p̚ t͡ɕʰ a̠ ŋ	곱창
곱하다	k o̞ pʰ a̠ d a̠	고파다
곳	k o̞ t̚	곧
공	k o̞ ŋ	공
공갈치다	k o̞ː ŋ ɡ a̠ ʎ t͡ɕʰ i d a̠	공갈치다
공갈하다	k o̞ː ŋ ɡ a̠ ɾ ɦ a̠ d a̠	공갈하다
공강	k o̞ ŋ ɡ a̠ ŋ	공강
공격전	k o̞ː ŋ ɡ j ʌ̹ k̚ t͡ɕ͈ ʌ̹ n	공격쩐
공격하다	k o̞ː ŋ ɡ j ʌ̹ kʰ a̠ d a̠	공겨카다
공교	k o̞ ŋ ɡ j o	공교
공교롭다	k o̞ ŋ ɡ j o ɾ o̞ p̚ t͈ a̠	공교롭따
공국	k o̞ː ŋ ɡ u k̚	공국
공급되다	k o̞ː ŋ ɡ ɯ p̚ t͈ w e̞ d a̠	공급뙤다
공급자	k o̞ː ŋ ɡ ɯ p̚ t͡ɕ͈ a̠	공급짜
공급하다	k o̞ː ŋ ɡ ɯ pʰ a̠ d a̠	공그파다
공기	k o̞ ŋ ɡ i	공기
공기방석	k o̞ ŋ ɡ i b a̠ ŋ sʰ ʌ̹ k̚	공기방석
공기방석자동차	k o̞ ŋ ɡ i b a̠ ŋ sʰ ʌ̹ k̚ t͡ɕ͈ a̠ d o̞ ŋ t͡ɕʰ a̠	공기방석짜동차
공략	k o̞ ŋ ɲ a̠ k̚	공낙
공리	k o̞ ŋ n i	공니
공립	k o̞ ŋ n i p̚	공닙
공무	k o̞ ŋ m u	공무
공문서	k o̞ ŋ m u n sʰ ʌ̹	공문서
공법	k o̞ ŋ p͈ ʌ̹ p̚	공뻡
공변	k o̞ ŋ b j ʌ̹ n	공변
공변되다	k o̞ ŋ b j ʌ̹ n d w e̞ d a̠	공변되다
공보	k o̞ ŋ b o̞	공보
공부벌레	k o̞ ŋ b u b ʌ̹ ɭ ɭ e̞	공부벌레
공부자	k o̞ː ŋ b u d͡ʑ a̠	공부자
공분	k o̞ ŋ b u n	공분
공사하다	k o̞ ŋ sʰ a̠ ɦ a̠ d a̠	공사하다
공상	k o̞ ŋ sʰ a̠ ŋ	공상
공손	k o̞ ŋ sʰ o̞ n	공손
공습	k o̞ ŋ sʰ ɯ p̚	공습
공습하다	k o̞ ŋ sʰ ɯ pʰ a̠ d a̠	공스파다
공식적	k o̞ ŋ ɕʰ i k̚ t͡ɕ͈ ʌ̹ k̚	공식쩍
공알	k o̞ː ŋ a̠ ɭ	공알
공영	k o̞ ŋ j ʌ̹ ŋ	공영
공유	k o̞ ŋ j u	공유
공유하다	k o̞ː ŋ j u ɦ a̠ d a̠	공유하다
공자	k o̞ ŋ d͡ʑ a̠	공자
공작나비	k o̞ ŋ d͡ʑ a̠ ŋ n a̠ b i	공장나비
공작원	k o̞ ŋ d͡ʑ a̠ ɡ w ʌ̹ n	공자권
공정가	k o̞ ŋ d͡ʑ ʌ̹ ŋ k͈ a̠	공정까
공주병	k o̞ ŋ d͡ʑ u p͈ j ʌ̹ ŋ	공주뼝
공중제비	k o̞ ŋ d͡ʑ u ŋ d͡ʑ e̞ b i	공중제비
공증인	k o̞ ŋ d͡ʑ ɯ ŋ i n	공증인
공지하다	k o̞ ŋ d͡ʑ i ɦ a̠ d a̠	공지하다
공직	k o̞ ŋ d͡ʑ i k̚	공직
공차	k o̞ ŋ t͡ɕʰ a̠	공차
공천	k o̞ ŋ t͡ɕʰ ʌ̹ n	공천
공칠과삼	k o̞ ŋ t͡ɕʰ i ɭ ɡ w a̠ sʰ a̠ m	공칠과삼
공판	k o̞ ŋ pʰ a̠ n	공판
공평	k o̞ ŋ pʰ j ʌ̹ ŋ	공평
공표	k o̞ ŋ pʰ j o	공표
공표하다	k o̞ ŋ pʰ j o ɦ a̠ d a̠	공표하다
공헌	k o̞ː ŋ ɦ ʌ̹ n	공헌
공훈	k o̞ ŋ β u n	공훈
공휴	k o̞ ŋ ʝ u	공후
공휴일	k o̞ ŋ ʝ u i ɭ	공후일
곶	k o̞ t̚	곧
곶감	k o̞ t̚ k͈ a̠ m	곧깜
과	k w a̠	과
과거	k w a̠ ɡ ʌ̹	과거
과거시제	k w a̠ː ɡ ʌ̹ ɕʰ i d͡ʑ e̞	과거시제
과거하다	k w a̠ ɡ ʌ̹ ɦ a̠ d a̠	과거하다
과금되다	k w a̠ ɡ ɯ m d w e̞ d a̠	과금되다
과금하다	k w a̠ ɡ ɯ m ɦ a̠ d a̠	과금하다
과다	k w a̠ː d a̠	과다
과다하다	k w a̠ː d a̠ ɦ a̠ d a̠	과다하다
과도기	k w a̠ː d o̞ ɡ i	과도기
과두제	k w a̠ː d u d͡ʑ e̞	과두제
과소평가	k w a̠ː sʰ o̞ pʰ j ʌ̹ ŋ ɡ a̠	과소평가
과시하다	k w a̠ː ɕʰ i ɦ a̠ d a̠	과시하다
과식하다	k w a̠ː ɕʰ i kʰ a̠ d a̠	과시카다
과장되다	k w a̠ː d͡ʑ a̠ ŋ d w e̞ d a̠	과장되다
과장하다	k w a̠ː d͡ʑ a̠ ŋ ɦ a̠ d a̠	과장하다
과즙	k w a̠ː d͡ʑ ɯ p̚	과즙
과학기술	k w a̠ ɦ a̠ k̚ k i sʰ u ɭ	과학기술
관건	k w a̠ n k͈ ʌ̹ n	관껀
관광하다	k w a̠ n ɡ w a̠ ŋ ɦ a̠ d a̠	관광하다
관군	k w a̠ n ɡ u n	관군
관능미	k w a̠ n n ɯ ŋ m i	관능미
관람자	k w a̠ ɭ ɭ a̠ m d͡ʑ a̠	괄람자
관련되다	k w a̠ ʎ ʎ ʌ̹ n d w e̞ d a̠	괄런되다
관련하다	k w a̠ ʎ ʎ ʌ̹ n ɦ a̠ d a̠	괄런하다
관로	k w a̠ ɭ ɭ o̞	괄로
관료제	k w a̠ ʎ ʎ o d͡ʑ e̞	괄료제
관방학	k w a̠ n b a̠ ŋ ɦ a̠ k̚	관방학
관수리	k w a̠ n sʰ u ɾ i	관수리
관심종자	k w a̠ n ɕʰ i m t͡ɕ o̞ ŋ d͡ʑ a̠	관심종자
관장	k w a̠ ɲ d͡ʑ a̠ ŋ	관장
관종	k w a̠ ɲ d͡ʑ o̞ ŋ	관종
관중	k w a̠ ɲ d͡ʑ u ŋ	관중
관청	k w a̠ ɲ t͡ɕʰ ʌ̹ ŋ	관청
관하다	k w a̠ n ɦ a̠ d a̠	관하다
관화	k w a̠ n β w a̠	관화
괄시	k w a̠ ɭ ɕ͈ i	괄씨
괌	k w a̠ m	괌
괌도	k w a̠ m d o̞	괌도
광	k w a̠ ŋ	광
광구	k w a̠ ŋ ɡ u	광구
광기	k w a̠ ŋ k͈ i	광끼
광둥어	k w a̠ ŋ d u ŋ ʌ̹	광둥어
광란	k w a̠ ŋ n a̠ n	광난
광물학	k w a̠ː ŋ m u ɾ ɦ a̠ k̚	광물학
광복절	k w a̠ ŋ b o̞ k̚ t͡ɕ͈ ʌ̹ ɭ	광복쩔
광서	k w a̠ː ŋ sʰ ʌ̹	광서
광신도	k w a̠ ŋ ɕʰ i n d o̞	광신도
광신자	k w a̠ ŋ ɕʰ i ɲ d͡ʑ a̠	광신자
광야	k w a̠ː ŋ j a̠	광야
광음사전	k w a̠ ŋ ɯ m sʰ a̠ d͡ʑ ʌ̹ n	광음사전
광인	k w a̠ ŋ i n	광인
광자	k w a̠ ŋ d͡ʑ a̠	광자
광자학	k w a̠ ŋ d͡ʑ a̠ ɦ a̠ k̚	광자학
광주	k w a̠ ŋ d͡ʑ u	광주
광호흡	k w a̠ ŋ β o̞ ɣ ɯ p̚	광호흡
광화학	k w a̠ ŋ β w a̠ ɦ a̠ k̚	광화학
괘	k w ɛː	괘
괭이	k w ɛː ŋ i	괭이
괴	k w e̞ː	괴
괴롭히다	k w e̞ ɾ o̞ pʰ i d a̠	괴로피다
괴이히	k w e̞ i ʝ i	괴이히
괴혈병	k w e̞ː ʝ ʌ̹ ɭ p͈ j ʌ̹ ŋ	괴헐뼝
굉장하다	k w e̞ ŋ d͡ʑ a̠ ŋ ɦ a̠ d a̠	굉장하다
교	k j oː	교
교교	k j oː ɡ j o	교교
교교하다	k j oː ɡ j o ɦ a̠ d a̠	교교하다
교또	k j o t͈ o̞	교또
교란되다	k j o ɾ a̠ n d w e̞ d a̠	교란되다
교란하다	k j o ɾ a̠ n ɦ a̠ d a̠	교란하다
교류하다	k j o ɾ j u ɦ a̠ d a̠	교류하다
교만	k j o m a̠ n	교만
교묘	k j o m j o	교묘
교미하다	k j o m i ɦ a̠ d a̠	교미하다
교반	k j o b a̠ n	교반
교사	k j o sʰ a̠	교사
교사하다	k j o sʰ a̠ ɦ a̠ d a̠	교사하다
교언	k j o ʌ̹ n	교언
교육되다	k j oː j u k̚ t͈ w e̞ d a̠	교육뙤다
교육하다	k j oː j u kʰ a̠ d a̠	교유카다
교의	k j o ɰ i	교의
교차위	k j o t͡ɕʰ a̠ ɥ i	교차위
교착	k j o t͡ɕʰ a̠ k̚	교착
교파	k j oː pʰ a̠	교파
교편	k j oː pʰ j ʌ̹ n	교편
교화	k j oː β w a̠	교화
교화소	k j oː β w a̠ sʰ o̞	교화소
교환되다	k j o β w a̠ n d w e̞ d a̠	교환되다
교환하다	k j o β w a̠ n ɦ a̠ d a̠	교환하다
교훈	k j oː β u n	교훈
구	k u	구
구걸하다	k u ɡ ʌ̹ ɾ ɦ a̠ d a̠	구걸하다
구결	k uː ɡ j ʌ̹ ɭ	구결
구경군	k uː ɡ j ʌ̹ ŋ ɡ u n	구경군
구균	k u ɡ j u n	구균
구기다	k u ɡ i d a̠	구기다
구기자나무	k u ɡ i d͡ʑ a̠ n a̠ m u	구기자나무
구기차	k u ɡ i t͡ɕʰ a̠	구기차
구나	k u n a̠	구나
구니	k u n i	구니
구니되다	k u n i d w e̞ d a̠	구니되다
구니하다	k u n i ɦ a̠ d a̠	구니하다
구독	k u d o̞ k̚	구독
구독료	k u d o̞ ŋ ɲ o	구동뇨
구독자	k u d o̞ k̚ t͡ɕ͈ a̠	구독짜
구독하다	k u d o̞ kʰ a̠ d a̠	구도카다
구두	k u d u	구두
구두점	k u d u t͡ɕ͈ ʌ̹ m	구두쩜
구들	k u d ɯ ɭ	구들
구라	k u ɾ a̠	구라
구로나	k u ɾ o̞ n a̠	구로나
구류되다	k u ɾ j u d w e̞ d a̠	구류되다
구류하다	k u ɾ j u ɦ a̠ d a̠	구류하다
구르다	k u ɾ ɯ d a̠	구르다
구리다	k u ɾ i d a̠	구리다
구마모또	k u m a̠ m o̞ t͈ o̞	구마모또
구멍가게	k u m ʌ̹ ŋ ɡ a̠ ɡ e̞	구멍가게
구무럭구무럭	k u m u ɾ ʌ̹ k̚ k͈ u m u ɾ ʌ̹ k̚	구무럭꾸무럭
구물구물	k u m u ɭ ɡ u m u ɭ	구물구물
구미	k u m i	구미
구미화	k u m i β w a̠	구미화
구별되다	k u b j ʌ̹ ɭ d w e̞ d a̠	구별되다
구별하다	k u b j ʌ̹ ɾ ɦ a̠ d a̠	구별하다
구보	k u b o̞	구보
구부러지다	k u b u ɾ ʌ̹ d͡ʑ i d a̠	구부러지다
구분되다	k u b u n d w e̞ d a̠	구분되다
구분하다	k u b u n ɦ a̠ d a̠	구분하다
구석차기	k u sʰ ʌ̹ k̚ t͡ɕʰ a̠ ɡ i	구석차기
구성되다	k u sʰ ʌ̹ ŋ d w e̞ d a̠	구성되다
구세계	k u sʰ e̞ ɡ j e̞	구세계
구세군	k uː sʰ e̞ ɡ u n	구세군
구속되다	k u sʰ o̞ k̚ t͈ w e̞ d a̠	구속뙤다
구속하다	k u sʰ o̞ kʰ a̠ d a̠	구소카다
구실	k u ɕʰ i ɭ	구실
구실잣밤나무	k u ɕʰ i ʎ d͡ʑ a̠ t̚ p͈ a̠ m n a̠ m u	구실잗빰나무
구아니딘	k u a̠ n i d i n	구아니딘
구아바	k u a̠ b a̠	구아바
구월	k u w ʌ̹ ɭ	구월
구입하다	k u i pʰ a̠ d a̠	구이파다
구적	k u d͡ʑ ʌ̹ k̚	구적
구조	k u d͡ʑ o̞	구조
구청	k u t͡ɕʰ ʌ̹ ŋ	구청
구축하다	k u t͡ɕʰ u kʰ a̠ d a̠	구추카다
구출하다	k uː t͡ɕʰ u ɾ ɦ a̠ d a̠	구출하다
구타하다	k u tʰ a̠ ɦ a̠ d a̠	구타하다
구토하다	k u tʰ o̞ ɦ a̠ d a̠	구토하다
구판	k u pʰ a̠ n	구판
구하다	k u ɦ a̠ d a̠	구하다
구현되다	k u ʝ ʌ̹ n d w e̞ d a̠	구헌되다
구현하다	k u ʝ ʌ̹ n ɦ a̠ d a̠	구헌하다
구혼하다	k u β o̞ n ɦ a̠ d a̠	구혼하다
구휼	k uː ʝ u ɭ	구훌
국	k u k̚	국
국가보안법	k u k̚ k͈ a̠ b o̞ a̠ n b ʌ̹ p̚	국까보안법
국경일	k u k̚ k͈ j ʌ̹ ŋ i ɭ	국꼉일
국룰	k u ŋ n u ɭ	궁눌
국무총리	k u ŋ m u t͡ɕʰ o̞ ŋ n i	궁무총니
국문	k u ŋ m u n	궁문
국보	k u k̚ p͈ o̞	국뽀
국비	k u k̚ p͈ i	국삐
국뽕	k u k̚ p͈ o̞ ŋ	국뽕
국수나무	k u k s͈ u n a̠ m u	국쑤나무
국어학	k u ɡ ʌ̹ ɦ a̠ k̚	구거학
국영하다	k u ɡ j ʌ̹ ŋ ɦ a̠ d a̠	구경하다
국유화하다	k u ɡ j u β w a̠ ɦ a̠ d a̠	구규화하다
국제가	k u k̚ t͡ɕ͈ e̞ ɡ a̠	국쩨가
국제보조어	k u k̚ t͡ɕ͈ e̞ b o̞ d͡ʑ o̞ ʌ̹	국쩨보조어
국제어	k u k̚ t͡ɕ͈ e̞ ʌ̹	국쩨어
국제적	k u k̚ t͡ɕ͈ e̞ d͡ʑ ʌ̹ k̚	국쩨적
국한	k u kʰ a̠ n	구칸
군	k u n	군
군기훈련	k u n ɡ i β uː ʎ ʎ ʌ̹ n	군기훌런
군디	k u n d i	군디
군마	k u n m a̠	군마
군벌	k u n b ʌ̹ ɭ	군벌
군사경찰	k uː n sʰ a̠ ɡ j ʌ̹ ŋ t͡ɕʰ a̠ ɭ	군사경찰
군사력	k u n sʰ a̠ ɾ j ʌ̹ k̚	군사력
군사화	k u n sʰ a̠ β w a̠	군사화
군주국	k u ɲ d͡ʑ u ɡ u k̚	군주국
군중가요	k u ɲ d͡ʑ u ŋ ɡ a̠ j o	군중가요
군집	k u ɲ d͡ʑ i p̚	군집
군체	k u ɲ t͡ɕʰ e̞	군체
군함	k u n ɦ a̠ m	군함
군함조	k u n ɦ a̠ m d͡ʑ o̞	군함조
굳기름	k u t̚ k͈ i ɾ ɯ m	굳끼름
굳어지다	k u d ʌ̹ d͡ʑ i d a̠	구더지다
굴	k u ɭ	굴
굴러가다	k u ɭ ɭ ʌ̹ ɡ a̠ d a̠	굴러가다
굴리다	k uː ʎ ʎ i d a̠	굴리다
굴욕	k u ɾ j o k̚	구룍
굴종	k u ʎ t͡ɕ͈ o̞ ŋ	굴쫑
굴참나무	k u ʎ t͡ɕʰ a̠ m n a̠ m u	굴참나무
굵다랗다	k uː k̚ t͈ a̠ ɾ a̠ tʰ a̠	국따라타
굼뜨다	k u m t͈ ɯ d a̠	굼뜨다
굼적	k u m d͡ʑ ʌ̹ k̚	굼적
굼지럭	k u m d͡ʑ i ɾ ʌ̹ k̚	굼지럭
굼틀굼틀	k u m tʰ ɯ ɭ ɡ u m tʰ ɯ ɭ	굼틀굼틀
굽다	k u p̚ t͈ a̠	굽따
굽신거리다	k u p ɕ͈ i n ɡ ʌ̹ ɾ i d a̠	굽씬거리다
굿	k u t̚	굳
궁둥이	k u ŋ d u ŋ i	궁둥이
궁륭	k u ŋ ɲ u ŋ	궁눙
궁예	k u ŋ j e̞	궁예
궁현	k u ŋ ʝ ʌ̹ n	궁헌
궂다	k u t̚ t͈ a̠	굳따
권	k w ʌ̹ n	권
권투하다	k w ʌ̹ n tʰ u ɦ a̠ d a̠	권투하다
궐녀	k w ʌ̹ ʎ ʎ ʌ̹	궐러
궐련	k w ʌ̹ ʎ ʎ ʌ̹ n	궐런
궤	k w e̞	궤
귀	k ɥ i	귀
귀갓길	k ɥ iː ɡ a̠ t̚ k͈ i ɭ	귀갇낄
귀결	k ɥ iː ɡ j ʌ̹ ɭ	귀결
귀녀	k ɥ iː ɲ ʌ̹	귀너
귀두	k ɥ i d u	귀두
귀밑털	k ɥ i m i t̚ tʰ ʌ̹ ɭ	귀믿털
귀부인	k ɥ iː b u i n	귀부인
귀빈	k ɥ iː b i n	귀빈
귀뿔논병아리	k ɥ i p͈ u ɭ ɭ o̞ n b j ʌ̹ ŋ a̠ ɾ i	귀뿔론병아리
귀상어	k ɥ i sʰ a̠ ŋ ʌ̹	귀상어
귀순	k ɥ iː sʰ u n	귀순
귀엣말	k ɥ i e̞ n m a̠ ɭ	귀엔말
귀엣말하다	k ɥ i e̞ n m a̠ ɾ ɦ a̠ d a̠	귀엔말하다
귀염둥이	k ɥ iː j ʌ̹ m d u ŋ i	귀염둥이
귀접	k ɥ iː d͡ʑ ʌ̹ p̚	귀접
귀지	k ɥ i d͡ʑ i	귀지
귀하	k ɥ iː ɦ a̠	귀하
귓결	k ɥ i t̚ k͈ j ʌ̹ ɭ	귇껼
귓구멍	k ɥ i t̚ k͈ u m ʌ̹ ŋ	귇꾸멍
규률	k j u ɾ j u ɭ	규률
규소수지	k j u sʰ o̞ sʰ u d͡ʑ i	규소수지
규정되다	k j u d͡ʑ ʌ̹ ŋ d w e̞ d a̠	규정되다
규정하다	k j u d͡ʑ ʌ̹ ŋ ɦ a̠ d a̠	규정하다
규제되다	k j u d͡ʑ e̞ d w e̞ d a̠	규제되다
규제하다	k j u d͡ʑ e̞ ɦ a̠ d a̠	규제하다
규탄되다	k j u tʰ a̠ n d w e̞ d a̠	규탄되다
규탄하다	k j u tʰ a̠ n ɦ a̠ d a̠	규탄하다
균계	k j u n ɡ j e̞	균계
균류	k j u ʎ ʎ u	귤루
귤	k j u ɭ	귤
그	k ɯ	그
그끄제	k ɯ k͈ ɯ d͡ʑ e̞	그끄제
그노시스	k ɯ n o̞ ɕʰ i sʰ ɯ	그노시스
그라피토	k͈ ɯ ɾ a̠ pʰ i tʰ o̞	끄라피토
그랴	k ɯ ɾ j a̠	그랴
그러자	k ɯ ɾ ʌ̹ d͡ʑ a̠	그러자
그런지	k ɯ ɾ ʌ̹ ɲ d͡ʑ i	그런지
그레고리오	k ɯ ɾ e̞ ɡ o̞ ɾ i o̞	그레고리오
그레이비	k ɯ ɾ e̞ i b i	그레이비
그레이트브리튼	k ɯ ɾ e̞ i tʰ ɯ b ɯ ɾ i tʰ ɯ n	그레이트브리튼
그렐린	k ɯ ɾ e̞ ʎ ʎ i n	그렐린
그려지다	k ɯ ɾ j ʌ̹ d͡ʑ i d a̠	그려지다
그루빠	k ɯ ɾ u p͈ a̠	그루빠
그루지야어	k ɯ ɾ u d͡ʑ i j a̠ ʌ̹	그루지야어
그루터기	k ɯ ɾ u tʰ ʌ̹ ɡ i	그루터기
그르치다	k ɯ ɾ ɯ t͡ɕʰ i d a̠	그르치다
그리마	k ɯ ɾ i m a̠	그리마
그림기호	k ɯː ɾ i m k i β o̞	그림기호
그림분필	k ɯ ɾ i m b u n pʰ i ɭ	그림분필
그림엽서	k ɯː ɾ i m j ʌ̹ p s͈ ʌ̹	그리몁써
그림영화	k ɯː ɾ i m j ʌ̹ ŋ β w a̠	그리명화
그림풀이	k ɯ ɾ i m pʰ u ɾ i	그림푸리
그만두다	k ɯ m a̠ n d u d a̠	그만두다
그물기름갖	k ɯ m u ɭ ɡ i ɾ ɯ m ɡ a̠ t̚	그물기름갇
그위	k ɯ ɥ i	그위
그을리다	k ɯ ɯ ʎ ʎ i d a̠	그을리다
그을음	k ɯ ɯ ɾ ɯ m	그으름
그치	k ɯ t͡ɕʰ i	그치
극광	k ɯ k̚ k͈ w a̠ ŋ	극꽝
극기	k ɯ k̚ k͈ i	극끼
극기하다	k ɯ k̚ k͈ i ɦ a̠ d a̠	극끼하다
극복하다	k ɯ k̚ p͈ o̞ kʰ a̠ d a̠	극뽀카다
극심	k ɯ k ɕ͈ i m	극씸
극적	k ɯ k̚ t͡ɕ͈ ʌ̹ k̚	극쩍
극중	k ɯ k̚ t͡ɕ͈ u ŋ	극쭝
극호	k ɯ kʰ o̞	그코
근거하다	k ɯ n ɡ ʌ̹ ɦ a̠ d a̠	근거하다
근면하다	k ɯː n m j ʌ̹ n ɦ a̠ d a̠	근면하다
근본주의	k ɯ n b o̞ ɲ d͡ʑ u ɰ i	근본주의
근사하다	k ɯː n sʰ a̠ ɦ a̠ d a̠	근사하다
근자감	k ɯ ɲ d͡ʑ a̠ ɡ a̠ m	근자감
근절하다	k ɯ ɲ d͡ʑ ʌ̹ ɾ ɦ a̠ d a̠	근절하다
근접하다	k ɯː ɲ d͡ʑ ʌ̹ pʰ a̠ d a̠	근저파다
근지럽다	k ɯ ɲ d͡ʑ i ɾ ʌ̹ p̚ t͈ a̠	근지럽따
근친	k ɯ ɲ t͡ɕʰ i n	근친
근친상간	k ɯ ɲ t͡ɕʰ i n sʰ a̠ ŋ ɡ a̠ n	근친상간
근황	k ɯː n β w a̠ ŋ	근황
글	k ɯ ɭ	글
글고	k ɯ ɭ ɡ o̞	글고
글라스노스트	k ɯ ɭ ɭ a̠ sʰ ɯ n o̞ sʰ ɯ tʰ ɯ	글라스노스트
글쇠	k ɯ ɭ sʰ w e̞	글쇠
글쇠판	k ɯ ɭ sʰ w e̞ pʰ a̠ n	글쇠판
글쓴이	k ɯ ɭ s͈ ɯ n i	글쓰니
글월	k ɯ ɾ w ʌ̹ ɭ	그뤌
금	k ɯ m	금
금강모치	k ɯ m ɡ a̠ ŋ m o̞ t͡ɕʰ i	금강모치
금강초롱꽃	k ɯ m ɡ a̠ ŋ t͡ɕʰ o̞ ɾ o̞ ŋ k͈ o̞ t̚	금강초롱꼳
