ᆯ지	ʎ t͡ɕ͈ i	ㄹ찌
고기겹빵	k o̞ ɡ i ɡ j ʌ̹ p̚ p͈ a̠ ŋ	고기겹빵
고난	k o̞ n a̠ n	고난
고니	k o̞ n i	고니
고달피다	k o̞ d a̠ ɭ pʰ i d a̠	고달피다
고독	k o̞ d o̞ k̚	고독
고독하다	k o̞ d o̞ kʰ a̠ d a̠	고도카다
고등어	k o̞ d ɯ ŋ ʌ̹	고드어
고등학교	k o̞ d ɯ ŋ ɦ a̠ k̚ k͈ j o	고등학꾜
고라니	k o̞ ɾ a̠ n i	고라니
고량주	k o̞ ɾ j a̠ ŋ d͡ʑ u	고량주
고려	k o̞ ɾ j ʌ̹	고려
고려말	k o̞ ɾ j ʌ̹ m a̠ ɭ	고려말
고루	k o̞ ɾ u	고루
고르다	k o̞ ɾ ɯ d a̠	고르다
고리	k o̞ ɾ i	고리
고릴라	k o̞ ɾ i ɭ ɭ a̠	고릴라
고마워	k o̞ m a̠ w ʌ̹	고마워
고맙다	k o̞ː m a̠ p̚ t͈ a̠	고맙따
고맙습니다	k o̞ m a̠ p s͈ ɯ m n i d a̠	고맙씀니다
고모	k o̞ m o̞	고모
고모부	k o̞ m o̞ b u	고모부
고무신	k o̞ m u ɕʰ i n	고무신
고문	k o̞ m u n	고문
고민	k o̞ m i n	고민
고민하다	k o̞ m i n ɦ a̠ d a̠	고민하다
고바야시박쥐	k o̞ b a̠ j a̠ ɕʰ i b a̠ k̚ t͡ɕ͈ ɥ i	고바야시박쮜
고발	k o̞ː b a̠ ɭ	고발
고방오리	k o̞ b a̠ ŋ o̞ ɾ i	고바오리
고삐	k o̞ p͈ i	고삐
고사기	k o̞ː sʰ a̠ ɡ i	고사기
고사리	k o̞ sʰ a̠ ɾ i	고사리
고사성어	k o̞ː sʰ a̠ sʰ ʌ̹ ŋ ʌ̹	고사서어
고사포	k o̞ sʰ a̠ pʰ o̞	고사포
고산	k o̞ sʰ a̠ n	고산
고속버스	k o̞ sʰ o̞ k̚ p͈ ʌ̹ sʰ ɯ	고속뻐스
고수	k o̞ sʰ u	고수
고순쥐	k o̞ sʰ u ɲ d͡ʑ ɥ i	고순쥐
고스트	k o̞ sʰ ɯ tʰ ɯ	고스트
고시	k o̞ː ɕʰ i	고시
고아	k o̞ a̠	고아
고아원	k o̞ a̠ w ʌ̹ n	고아원
고양이	k o̞ j a̠ ŋ i	고야이
고어	k o̞ː ʌ̹	고어
고온	k o̞ o̞ n	고온
고요	k o̞ j o	고요
고용	k o̞ j o ŋ	고용
고을	k o̞ ɯ ɭ	고을
고저	k o̞ d͡ʑ ʌ̹	고저
고전	k o̞ː d͡ʑ ʌ̹ n	고전
고전적	k o̞ː d͡ʑ ʌ̹ ɲ d͡ʑ ʌ̹ k̚	고전적
고정	k o̞ d͡ʑ ʌ̹ ŋ	고정
고정되다	k o̞ d͡ʑ ʌ̹ ŋ d w e̞ d a̠	고정되다
고조	k o̞ d͡ʑ o̞	고조
고조선	k o̞ː d͡ʑ o̞ sʰ ʌ̹ n	고조선
고지	k o̞ d͡ʑ i	고지
고지리학	k o̞ː d͡ʑ i ɾ i ɦ a̠ k̚	고지리학
고지식하다	k o̞ d͡ʑ i ɕʰ i kʰ a̠ d a̠	고지시카다
고질병	k o̞ d͡ʑ i ɭ p͈ j ʌ̹ ŋ	고질뼝
고집	k o̞ d͡ʑ i p̚	고집
고집스럽다	k o̞ d͡ʑ i p s͈ ɯ ɾ ʌ̹ p̚ t͈ a̠	고집쓰럽따
고집하다	k o̞ d͡ʑ i pʰ a̠ d a̠	고지파다
고추장	k o̞ t͡ɕʰ u d͡ʑ a̠ ŋ	고추장
고춧가루	k o̞ t͡ɕʰ u t̚ k͈ a̠ ɾ u	고춛까루
고통	k o̞ tʰ o̞ ŋ	고통
고통스럽다	k o̞ tʰ o̞ ŋ sʰ ɯ ɾ ʌ̹ p̚ t͈ a̠	고통스럽따
고투	k o̞ː tʰ u	고투
고프다	k o̞ pʰ ɯ d a̠	고프다
고혈압	k o̞ ʝ j ʌ̹ ɾ a̠ p̚	고혀랍
고환	k o̞ β w a̠ n	고환
곡물	k o̞ ŋ m u ɭ	공물
곡식	k o̞ k ɕ͈ i k̚	곡씩
곡예사	k o̞ ɡ j e̞ sʰ a̠	고계사
곡조	k o̞ k̚ t͡ɕ͈ o̞	곡쪼
곤란	k o̞ː ɭ ɭ a̠ n	골란
곤란하다	k o̞ː ɭ ɭ a̠ n ɦ a̠ d a̠	골란하다
곤이	k o̞ n i	고니
곤충	k o̞ ɲ t͡ɕʰ u ŋ	곤충
곤충학	k o̞ ɲ t͡ɕʰ u ŋ ɦ a̠ k̚	곤충학
곧바로	k o̞ t̚ p͈ a̠ ɾ o̞	곧빠로
곧은창자	k o̞ d ɯ ɲ t͡ɕʰ a̠ ŋ d͡ʑ a̠	고든창자
곧장	k o̞ t̚ t͡ɕ͈ a̠ ŋ	곧짱
골드바	k o̞ ɭ d ɯ b a̠	골드바
골목	k o̞ː ɭ m o̞ k̚	골목
골무	k o̞ ɭ m u	골무
골반	k o̞ ɭ b a̠ n	골반
골상학	k o̞ ɭ sʰ a̠ ŋ ɦ a̠ k̚	골상학
골수	k o̞ ɭ s͈ u	골쑤
골인	k͈ o̞ ɾ i n	꼬린
골짜기	k o̞ ʎ t͡ɕ͈ a̠ ɡ i	골짜기
골프	k͈ o̞ ɭ pʰ ɯ	꼴프
곪다	k o̞ː m t͈ a̠	곰따
곰국	k o̞ː m k͈ u k̚	곰꾹
곰비임비	k o̞ m b i i m b i	곰비임비
곰실	k o̞ m ɕʰ i ɭ	곰실
곰틀	k o̞ m tʰ ɯ ɭ	곰틀
곰팡이	k o̞ m pʰ a̠ ŋ i	곰파이
곱사연어	k o̞ p s͈ a̠ j ʌ̹ n ʌ̹	곱싸여너
곱셈	k o̞ p s͈ e̞ m	곱쎔
곳곳	k o̞ t̚ k͈ o̞ t̚	곧꼳
공간	k o̞ ŋ ɡ a̠ n	공간
공갈	k o̞ː ŋ ɡ a̠ ɭ	공갈
공격	k o̞ː ŋ ɡ j ʌ̹ k̚	공격
공경	k o̞ ŋ ɡ j ʌ̹ ŋ	공경
공공	k o̞ ŋ ɡ o̞ ŋ	공공
공구	k o̞ ŋ ɡ u	공구
공군	k o̞ ŋ ɡ u n	공군
공급	k o̞ː ŋ ɡ ɯ p̚	공급
공동	k o̞ː ŋ d o̞ ŋ	공동
공동체	k o̞ː ŋ d o̞ ŋ t͡ɕʰ e̞	공동체
공로	k o̞ ŋ n o̞	공노
공룡	k o̞ː ŋ ɲ j o ŋ	공뇽
공리주의	k o̞ ŋ n i d͡ʑ u ɰ i	공니주의
공모	k o̞ː ŋ m o̞	공모
공무원	k o̞ ŋ m u w ʌ̹ n	공무원
공민	k o̞ ŋ m i n	공민
공방	k o̞ ŋ b a̠ ŋ	공방
공병	k o̞ ŋ b j ʌ̹ ŋ	공병
공보원	k o̞ ŋ b o̞ w ʌ̹ n	공보원
공부하다	k o̞ ŋ b u ɦ a̠ d a̠	공부하다
공산당	k o̞ː ŋ sʰ a̠ n d a̠ ŋ	공산당
공산주의	k o̞ː ŋ sʰ a̠ ɲ d͡ʑ u ɰ i	공산주의
공산주의자	k o̞ː ŋ sʰ a̠ ɲ d͡ʑ u ɰ i d͡ʑ a̠	공산주의자
공성계	k o̞ ŋ sʰ ʌ̹ ŋ ɡ j e̞	공성계
공세	k o̞ː ŋ sʰ e̞	공세
공수	k o̞ ŋ sʰ u	공수
공수도	k o̞ ŋ sʰ u d o̞	공수도
공수병	k o̞ː ŋ sʰ u p͈ j ʌ̹ ŋ	공수뼝
공식	k o̞ ŋ ɕʰ i k̚	공식
공식어	k o̞ ŋ ɕʰ i ɡ ʌ̹	공시거
공안	k o̞ ŋ a̠ n	고안
공언	k o̞ ŋ ʌ̹ n	고언
공언하다	k o̞ ŋ ʌ̹ n ɦ a̠ d a̠	고언하다
공업	k o̞ ŋ ʌ̹ p̚	고업
공업화	k o̞ː ŋ ʌ̹ pʰ w a̠	고어퐈
공연	k o̞ ŋ j ʌ̹ n	고연
공용어	k o̞ ŋ j o ŋ ʌ̹	고요어
공원	k o̞ ŋ w ʌ̹ n	고원
공인	k o̞ ŋ i n	고인
공작	k o̞ː ŋ d͡ʑ a̠ k̚	공작
공정	k o̞ ŋ d͡ʑ ʌ̹ ŋ	공정
공정하다	k o̞ ŋ d͡ʑ ʌ̹ ŋ ɦ a̠ d a̠	공정하다
공주	k o̞ ŋ d͡ʑ u	공주
공중	k o̞ ŋ d͡ʑ u ŋ	공중
공중전화	k o̞ ŋ d͡ʑ u ŋ d͡ʑ ʌ̹ n β w a̠	공중전화
공지	k o̞ ŋ d͡ʑ i	공지
공짜	k o̞ ŋ t͡ɕ͈ a̠	공짜
공통점	k o̞ː ŋ tʰ o̞ ŋ t͡ɕ͈ ʌ̹ m	공통쩜
공포	k o̞ː ŋ pʰ o̞	공포
공학	k o̞ ŋ ɦ a̠ k̚	공학
공항	k o̞ ŋ ɦ a̠ ŋ	공항
공허하다	k o̞ ŋ ɦ ʌ̹ ɦ a̠ d a̠	공허하다
공황	k o̞ː ŋ β w a̠ ŋ	공황
과거형	k w a̠ː ɡ ʌ̹ ʝ j ʌ̹ ŋ	과거형
과금	k w a̠ ɡ ɯ m	과금
과두	k w a̠ː d u	과두
과들루쁘	k w a̠ d ɯ ɭ ɭ u p͈ ɯ	과들루쁘
과들루프	k w a̠ d ɯ ɭ ɭ u pʰ ɯ	과들루프
과떼말라	k w a̠ t͈ e̞ m a̠ ɭ ɭ a̠	과떼말라
과로	k w a̠ː ɾ o̞	과로
과로사	k w a̠ː ɾ o̞ sʰ a̠	과로사
과립	k w a̠ ɾ i p̚	과립
과메기	k w a̠ m e̞ ɡ i	과메기
과물	k w a̠ m u ɭ	과물
과업	k w a̠ ʌ̹ p̚	과업
과연	k w a̠ː j ʌ̹ n	과연
과외	k w a̠ w e̞	과외
과욕	k w a̠ː j o k̚	과욕
과일	k w a̠ː i ɭ	과일
과일단물	k w a̠ i ɭ d a̠ n m u ɭ	과일단물
과일물	k w a̠ː i ɭ m u ɭ	과일물
과자	k w a̠ː d͡ʑ a̠	과자
과장	k w a̠ d͡ʑ a̠ ŋ	과장
과정	k w a̠ː d͡ʑ ʌ̹ ŋ	과정
과테말라	k w a̠ tʰ e̞ m a̠ ɭ ɭ a̠	과테말라
과팅	k w a̠ tʰ i ŋ	과팅
과포자	k w a̠ pʰ o̞ d͡ʑ a̠	과포자
과학	k w a̠ ɦ a̠ k̚	과학
과학관	k w a̠ ɦ a̠ k̚ k͈ w a̠ n	과학꽌
과학자	k w a̠ ɦ a̠ k̚ t͡ɕ͈ a̠	과학짜
과학적	k w a̠ ɦ a̠ k̚ t͡ɕ͈ ʌ̹ k̚	과학쩍
곽밥	k w a̠ k̚ p͈ a̠ p̚	곽빱
관계	k w a̠ n ɡ j e̞	관계
관계어	k w a̠ n ɡ j e̞ ʌ̹	관계어
관계없이	k w a̠ n ɡ j e̞ ʌ̹ p ɕ͈ i	관계업씨
관계자	k w a̠ n ɡ j e̞ d͡ʑ a̠	관계자
관광	k w a̠ n ɡ w a̠ ŋ	관광
관광버스	k w a̠ n ɡ w a̠ ŋ b ʌ̹ sʰ ɯ	관광버스
관광학	k w a̠ n ɡ w a̠ ŋ ɦ a̠ k̚	관광학
관념	k w a̠ n ɲ j ʌ̹ m	관념
관람차	k w a̠ ɭ ɭ a̠ m t͡ɕʰ a̠	괄람차
관련	k w a̠ ʎ ʎ j ʌ̹ n	괄련
관련성	k w a̠ ʎ ʎ j ʌ̹ n s͈ ʌ̹ ŋ	괄련썽
관리	k w a̠ ʎ ʎ i	괄리
관리인	k w a̠ ʎ ʎ i i n	괄리인
관리하다	k w a̠ ʎ ʎ i ɦ a̠ d a̠	괄리하다
관문	k w a̠ n m u n	관문
관박쥐	k w a̠ n b a̠ k̚ t͡ɕ͈ ɥ i	관박쮜
관복	k w a̠ n b o̞ k̚	관복
관사	k w a̠ n sʰ a̠	관사
관성	k w a̠ n sʰ ʌ̹ ŋ	관성
관세	k w a̠ n sʰ e̞	관세
관심	k w a̠ n ɕʰ i m	관심
관용구	k w a̠ ɲ j o ŋ k͈ u	과뇽꾸
관음	k w a̠ n ɯ m	과늠
관자놀이	k w a̠ ɲ d͡ʑ a̠ n o̞ ɾ i	관자노리
관절	k w a̠ ɲ d͡ʑ ʌ̹ ɭ	관절
관절염	k w a̠ ɲ d͡ʑ ʌ̹ ɾ j ʌ̹ m	관저렴
관찰	k w a̠ ɲ t͡ɕʰ a̠ ɭ	관찰
관찰하다	k w a̠ ɲ t͡ɕʰ a̠ ɾ ɦ a̠ d a̠	관찰하다
관코박쥐	k w a̠ n kʰ o̞ b a̠ k̚ t͡ɕ͈ ɥ i	관코박쮜
관풍금	k w a̠ n pʰ u ŋ ɡ ɯ m	관풍금
관할	k w a̠ n ɦ a̠ ɭ	관할
관현악단	k w a̠ n ʝ j ʌ̹ n a̠ k̚ t͈ a̠ n	관혀낙딴
관형사	k w a̠ n ʝ j ʌ̹ ŋ sʰ a̠	관형사
괄약근	k w a̠ ɾ j a̠ k̚ k͈ ɯ n	과략끈
괄호	k w a̠ ɾ β o̞	괄호
광검	k w a̠ ŋ ɡ ʌ̹ m	광검
광견병	k w a̠ ŋ ɡ j ʌ̹ n p͈ j ʌ̹ ŋ	광견뼝
광경	k w a̠ ŋ ɡ j ʌ̹ ŋ	광경
광년	k w a̠ ŋ ɲ j ʌ̹ n	광년
광동	k w a̠ː ŋ d o̞ ŋ	광동
광동어	k w a̠ː ŋ d o̞ ŋ ʌ̹	광도어
광둥	k w a̠ ŋ d u ŋ	광둥
광명	k w a̠ ŋ m j ʌ̹ ŋ	광명
광명성절	k w a̠ ŋ m j ʌ̹ ŋ sʰ ʌ̹ ŋ d͡ʑ ʌ̹ ɭ	광명성절
광물	k w a̠ː ŋ m u ɭ	광물
광부	k w a̠ː ŋ b u	광부
광산	k w a̠ː ŋ sʰ a̠ n	광산
광석	k w a̠ː ŋ sʰ ʌ̹ k̚	광석
광선	k w a̠ ŋ sʰ ʌ̹ n	광선
광시	k w a̠ ŋ ɕʰ i	광시
광업	k w a̠ː ŋ ʌ̹ p̚	과업
광역시	k w a̠ː ŋ j ʌ̹ k ɕ͈ i	과역씨
광우병	k w a̠ ŋ u p͈ j ʌ̹ ŋ	과우뼝
광원	k w a̠ ŋ w ʌ̹ n	과원
광장	k w a̠ː ŋ d͡ʑ a̠ ŋ	광장
광초	k w a̠ ŋ t͡ɕʰ o̞	광초
광학	k w a̠ ŋ ɦ a̠ k̚	광학
광화문	k w a̠ ŋ β w a̠ m u n	광화문
괴기	k w e̞ ɡ i	괴기
괴다	k w e̞ː d a̠	괴다
괴담	k w e̞ː d a̠ m	괴담
괴로움	k w e̞ ɾ o̞ u m	괴로움
괴롭다	k w e̞ ɾ o̞ p̚ t͈ a̠	괴롭따
괴뢰	k w e̞ː ɾ w e̞	괴뢰
괴리	k w e̞ ɾ i	괴리
괴물	k w e̞ː m u ɭ	괴물
괴수	k w e̞ː sʰ u	괴수
괴짜	k w e̞ː t͡ɕ͈ a̠	괴짜
괴한	k w e̞ː ɦ a̠ n	괴한
굉장히	k w e̞ ŋ d͡ʑ a̠ ŋ ʝ i	굉장히
교가	k j oː ɡ a̠	교가
교각	k j o ɡ a̠ k̚	교각
교거	k j o ɡ ʌ̹	교거
교과서	k j oː k͈ w a̠ sʰ ʌ̹	교꽈서
교도	k j oː d o̞	교도
교란	k j o ɾ a̠ n	교란
교량	k j o ɾ j a̠ ŋ	교량
교류	k j o ɾ j u	교류
교리	k j oː ɾ i	교리
교미	k j o m i	교미
교복	k j oː b o̞ k̚	교복
교수	k j oː sʰ u	교수
교실	k j oː ɕʰ i ɭ	교실
교양	k j oː j a̠ ŋ	교양
교역	k j o j ʌ̹ k̚	교역
교외	k j o w e̞	교외
교원	k j oː w ʌ̹ n	교원
교육	k j oː j u k̚	교육
교육학	k j oː j u kʰ a̠ k̚	교유칵
교인	k j oː i n	교인
교장	k j oː d͡ʑ a̠ ŋ	교장
교전	k j o d͡ʑ ʌ̹ n	교전
교정	k j oː d͡ʑ ʌ̹ ŋ	교정
교조	k j oː d͡ʑ o̞	교조
교차로	k j o t͡ɕʰ a̠ ɾ o̞	교차로
교체	k j o t͡ɕʰ e̞	교체
교체하다	k j o t͡ɕʰ e̞ ɦ a̠ d a̠	교체하다
교탁	k j oː tʰ a̠ k̚	교탁
교토	k j o tʰ o̞	교토
교통	k j o tʰ o̞ ŋ	교통
교통사고	k j o tʰ o̞ ŋ sʰ a̠ ɡ o̞	교통사고
교통요금	k j o tʰ o̞ ŋ j o ɡ ɯ m	교토요금
교포	k j o pʰ o̞	교포
교향곡	k j o ʝ j a̠ ŋ ɡ o̞ k̚	교향곡
교환	k j o β w a̠ n	교환
교활하다	k j o β w a̠ ɾ ɦ a̠ d a̠	교활하다
교황	k j oː β w a̠ ŋ	교황
교회론	k j oː β w e̞ ɾ o̞ n	교회론
구강	k uː ɡ a̠ ŋ	구강
구결자	k uː ɡ j ʌ̹ ʎ t͡ɕ͈ a̠	구결짜
구경	k uː ɡ j ʌ̹ ŋ	구경
구경꾼	k uː ɡ j ʌ̹ ŋ k͈ u n	구경꾼
구경하다	k uː ɡ j ʌ̹ ŋ ɦ a̠ d a̠	구경하다
구굴무치	k u ɡ u ɭ m u t͡ɕʰ i	구굴무치
구급차	k uː ɡ ɯ p̚ t͡ɕʰ a̠	구급차
구기자	k u ɡ i d͡ʑ a̠	구기자
구난	k uː n a̠ n	구난
구녕	k u ɲ j ʌ̹ ŋ	구녕
구더기	k u d ʌ̹ ɡ i	구더기
구덩이	k u d ʌ̹ ŋ i	구더이
구라파	k u ɾ a̠ pʰ a̠	구라파
구렁이	k u ɾ ʌ̹ ŋ i	구러이
구레나룻	k u ɾ e̞ n a̠ ɾ u t̚	구레나룯
구름	k u ɾ ɯ m	구름
구름다리	k u ɾ ɯ m d a̠ ɾ i	구름다리
구마	k u m a̠	구마
구멍	k u m ʌ̹ ŋ	구멍
구무	k u m u	구무
구미호	k u m i β o̞	구미호
구부리다	k u b u ɾ i d a̠	구부리다
구분	k u b u n	구분
구분자	k uː b u ɲ d͡ʑ a̠	구분자
구상	k u sʰ a̠ ŋ	구상
구성	k u sʰ ʌ̹ ŋ	구성
구성원	k u sʰ ʌ̹ ŋ w ʌ̹ n	구서원
구성하다	k u sʰ ʌ̹ ŋ ɦ a̠ d a̠	구성하다
구속	k u sʰ o̞ k̚	구속
구슬	k u sʰ ɯ ɭ	구슬
구십	k u ɕʰ i p̚	구십
구약	k u j a̠ k̚	구약
구약성경	k uː j a̠ k s͈ ʌ̹ ŋ ɡ j ʌ̹ ŋ	구약썽경
구요	k u j o	구요
구원	k uː w ʌ̹ n	구원
구이	k u i	구이
구입	k u i p̚	구입
구입처	k u i p̚ t͡ɕʰ ʌ̹	구입처
구절	k u d͡ʑ ʌ̹ ɭ	구절
구체적	k u t͡ɕʰ e̞ d͡ʑ ʌ̹ k̚	구체적
구축	k u t͡ɕʰ u k̚	구축
구출	k uː t͡ɕʰ u ɭ	구출
구취	k uː t͡ɕʰ ɥ i	구취
구치소	k u t͡ɕʰ i sʰ o̞	구치소
구타	k u tʰ a̠	구타
구토	k u tʰ o̞	구토
구현	k u ʝ j ʌ̹ n	구현
구호	k uː β o̞	구호
구호금	k uː β o̞ ɡ ɯ m	구호금
구혼	k u β o̞ n	구혼
국가	k u k̚ k͈ a̠	국까
국경	k u k̚ k͈ j ʌ̹ ŋ	국꼉
국립	k u ŋ n i p̚	궁닙
국면	k u ŋ m j ʌ̹ n	궁면
국물	k u ŋ m u ɭ	궁물
국민	k u ŋ m i n	궁민
국산	k u k s͈ a̠ n	국싼
국수주의	k u k s͈ u d͡ʑ u ɰ i	국쑤주의
국악	k u ɡ a̠ k̚	구각
국어	k u ɡ ʌ̹	구거
국영	k u ɡ j ʌ̹ ŋ	구경
국왕	k u ɡ w a̠ ŋ	구광
국유화	k u ɡ j u β w a̠	구규화
국자	k u k̚ t͡ɕ͈ a̠	국짜
국적	k u k̚ t͡ɕ͈ ʌ̹ k̚	국쩍
국제화	k u k̚ t͡ɕ͈ e̞ β w a̠	국쩨화
국토	k u k̚ tʰ o̞	국토
국한문	k u kʰ a̠ n m u n	구칸문
국화	k u kʰ w a̠	구콰
국회	k u kʰ w e̞	구쾨
군관	k u n ɡ w a̠ n	군관
군국주의	k u n ɡ u k̚ t͡ɕ͈ u ɰ i	군국쭈의
군단	k u n d a̠ n	군단
군데	k u n d e̞	군데
군데군데	k u n d e̞ ɡ u n d e̞	군데군데
군도	k u n d o̞	군도
군만두	k uː n m a̠ n d u	군만두
군복	k u n b o̞ k̚	군복
군소리	k uː n sʰ o̞ ɾ i	군소리
군인	k u n i n	구닌
군주제	k u ɲ d͡ʑ u d͡ʑ e̞	군주제
굳다	k u t̚ t͈ a̠	굳따
굴곡위	k u ɭ ɡ o̞ ɡ ɥ i	굴고귀
굴다	k u ɭ d a̠	굴다
굴뚝	k uː ɭ t͈ u k̚	굴뚝
굴레	k u ɭ ɭ e̞	굴레
굴비	k u ɭ b i	굴비
굴절	k u ʎ t͡ɕ͈ ʌ̹ ɭ	굴쩔
굴착기	k u ʎ t͡ɕʰ a̠ k̚ k͈ i	굴착끼
굶기다	k u m ɡ i d a̠	굼기다
굼벵이	k uː m b e̞ ŋ i	굼베이
굼실굼실	k u m ɕʰ i ɭ ɡ u m ɕʰ i ɭ	굼실굼실
굼적굼적	k u m d͡ʑ ʌ̹ k̚ k͈ u m d͡ʑ ʌ̹ k̚	굼적꿈적
굽이	k u b i	구비
굽히다	k u pʰ i d a̠	구피다
궁극적	k u ŋ ɡ ɯ k̚ t͡ɕ͈ ʌ̹ k̚	궁극쩍
궁금하다	k u ŋ ɡ ɯ m ɦ a̠ d a̠	궁금하다
궁수	k u ŋ sʰ u	궁수
궁전	k u ŋ d͡ʑ ʌ̹ n	궁전
궁정	k u ŋ d͡ʑ ʌ̹ ŋ	궁정
궁중	k u ŋ d͡ʑ u ŋ	궁중
궁핍	k u ŋ pʰ i p̚	궁핍
권고	k w ɘː n ɡ o̞	ㄱwㅓㄴ고
권당	k w ʌ̹ n d a̠ ŋ	권당
권력	k w ɘː ʎ ʎ j ʌ̹ k̚	ㄱwㅓㄹ력
권리	k w ʌ̹ ʎ ʎ i	궐리
권세	k w ʌ̹ n sʰ e̞	권세
권위	k w ʌ̹ n ɥ i	궈뉘
권투	k w ʌ̹ n tʰ u	권투
궤도	k w e̞ː d o̞	궤도
궤변	k w e̞ː b j ʌ̹ n	궤변
귀걸이	k ɥ i ɡ ʌ̹ ɾ i	귀거리
귀국	k ɥ iː ɡ u k̚	귀국
귀국하다	k ɥ iː ɡ u kʰ a̠ d a̠	귀구카다
귀뚜라미	k ɥ i t͈ u ɾ a̠ m i	귀뚜라미
귀뚤귀	k ɥ i t͈ u ɭ ɡ ɥ i	귀뚤귀
귀리	k ɥ iː ɾ i	귀리
귀신	k ɥ iː ɕʰ i n	귀신
귀양	k ɥ i j a̠ ŋ	귀양
귀엽다	k ɥ iː j ʌ̹ p̚ t͈ a̠	귀엽따
귀족	k ɥ i d͡ʑ o̞ k̚	귀족
귀주	k ɥ i d͡ʑ u	귀주
귀찮다	k ɥ i t͡ɕʰ a̠ n tʰ a̠	귀찬타
귀하다	k ɥ iː ɦ a̠ d a̠	귀하다
귀환	k ɥ iː β w a̠ n	귀환
귓불	k ɥ i t̚ p͈ u ɭ	귇뿔
규모	k j u m o̞	규모
규범	k j u b ʌ̹ m	규범
규약	k j u j a̠ k̚	규약
규율	k j u j u ɭ	규율
규정	k j u d͡ʑ ʌ̹ ŋ	규정
규제	k j u d͡ʑ e̞	규제
규칙	k j u t͡ɕʰ i k̚	규칙
규칙적	k j u t͡ɕʰ i k̚ t͡ɕ͈ ʌ̹ k̚	규칙쩍
균형	k j u n ʝ j ʌ̹ ŋ	균형
그것	k ɯ ɡ ʌ̹ t̚	그걷
그곳	k ɯ ɡ o̞ t̚	그곧
그끄저께	k ɯ k͈ ɯ d͡ʑ ʌ̹ k͈ e̞	그끄저께
그날	k ɯ n a̠ ɭ	그날
그냥	k ɯ ɲ j a̠ ŋ	그냥
그네	k ɯː n e̞	그네
그네들	k ɯ n e̞ d ɯ ɭ	그네들
그녀들	k ɯ ɲ j ʌ̹ d ɯ ɭ	그녀들
그늘	k ɯ n ɯ ɭ	그늘
그늘지다	k ɯ n ɯ ʎ d͡ʑ i d a̠	그늘지다
그다음	k ɯ d a̠ ɯ m	그다음
그다지	k ɯ d a̠ d͡ʑ i	그다지
그동안	k ɯ d o̞ ŋ a̠ n	그도안
그라프	k ɯ ɾ a̠ pʰ ɯ	그라프
그람	k ɯ ɾ a̠ m	그람
그러나	k ɯ ɾ ʌ̹ n a̠	그러나
그러니까	k ɯ ɾ ʌ̹ n i k͈ a̠	그러니까
그러다	k ɯ ɾ ʌ̹ d a̠	그러다
그러면	k ɯ ɾ ʌ̹ m j ʌ̹ n	그러면
그러므로	k ɯ ɾ ʌ̹ m ɯ ɾ o̞	그러므로
그러하다	k ɯ ɾ ʌ̹ ɦ a̠ d a̠	그러하다
그런	k ɯ ɾ ʌ̹ n	그런
그런데	k ɯ ɾ ʌ̹ n d e̞	그런데
그럼	k ɯ ɾ ʌ̹ m	그럼
그렇게	k ɯ ɾ ʌ̹ kʰ e̞	그러케
그렇지	k ɯ ɾ ʌ̹ t͡ɕʰ i	그러치
그렇지만	k ɯ ɾ ʌ̹ t͡ɕʰ i m a̠ n	그러치만
그레나다	k ɯ ɾ e̞ n a̠ d a̠	그레나다
그레이프프루트	k͈ ɯ ɾ e̞ i pʰ ɯ pʰ ɯ ɾ u tʰ ɯ	끄레이프프루트
그루	k ɯ ɾ u	그루
그루지야	k ɯ ɾ u d͡ʑ i j a̠	그루지야
그룹	k ɯ ɾ u p̚	그룹
그르다	k ɯ ɾ ɯ d a̠	그르다
그릇	k ɯ ɾ ɯ t̚	그륻
그릇되다	k ɯ ɾ ɯ t̚ t͈ w e̞ d a̠	그륻뙤다
그리	k ɯ ɾ i	그리
그리고	k ɯ ɾ i ɡ o̞	그리고
그리다	k ɯː ɾ i d a̠	그리다
그리스도	k ɯ ɾ i sʰ ɯ d o̞	그리스도
그리스도교	k ɯ ɾ i sʰ ɯ d o̞ ɡ j o	그리스도교
그리스어	k ɯ ɾ i sʰ ɯ ʌ̹	그리스어
그리움	k ɯ ɾ i u m	그리움
그리워하다	k ɯ ɾ i w ʌ̹ ɦ a̠ d a̠	그리워하다
그린란드	k ɯ ɾ i n n a̠ n d ɯ	그린난드
그림	k ɯː ɾ i m	그림
그림자	k ɯː ɾ i m d͡ʑ a̠	그림자
그립다	k ɯ ɾ i p̚ t͈ a̠	그립따
그만	k ɯ m a̠ n	그만
그만큼	k ɯ m a̠ n k x ɯ m	그만ㄱ흠
그만하다	k ɯ m a̠ n ɦ a̠ d a̠	그만하다
그물	k ɯ m u ɭ	그물
그믐	k ɯ m ɯ m	그믐
그믐날	k ɯ m ɯ m n a̠ ɭ	그믐날
그야말로	k ɯ j a̠ m a̠ ɭ ɭ o̞	그야말로
그윽하다	k ɯ ɯ kʰ a̠ d a̠	그으카다
그저	k ɯ d͡ʑ ʌ̹	그저
그저께	k ɯ d͡ʑ ʌ̹ k͈ e̞	그저께
그제	k ɯ d͡ʑ e̞	그제
그중	k ɯ d͡ʑ u ŋ	그중
그치다	k ɯ t͡ɕʰ i d a̠	그치다
그치만	k ɯ t͡ɕʰ i m a̠ n	그치만
그토록	k ɯ tʰ o̞ ɾ o̞ k̚	그토록
