ᆜ	j ɯ
골칫거리	k o̞ ʎ t͡ɕʰ i t̚ k͈ ʌ̹ ɾ i
골탄	k o̞ ɭ tʰ a̠ n
곬	k o̞ ɭ
곰	k o̞ː m
곰소	k o̞ m sʰ o̞
곰솔	k o̞ m sʰ o̞ ɭ
곰작	k o̞ m d͡ʑ a̠ k̚
곰작곰작	k o̞ m d͡ʑ a̠ k̚ k͈ o̞ m d͡ʑ a̠ k̚
곰지락	k o̞ m d͡ʑ i ɾ a̠ k̚
곰지락곰지락	k o̞ m d͡ʑ i ɾ a̠ k̚ k͈ o̞ m d͡ʑ i ɾ a̠ k̚
곰탕	k o̞ m tʰ a̠ ŋ
곰틀곰틀	k o̞ m tʰ ɯ ɭ ɡ o̞ m tʰ ɯ ɭ
곱	k o̞ p̚
곱다	k o̞ p̚ t͈ a̠
곱다랗다	k o̞ː p̚ t͈ a̠ ɾ a̠ tʰ a̠
곱사	k o̞ p s͈ a̠
곱이곱이	k o̞ b i ɡ o̞ b i
곱창	k o̞ p̚ t͡ɕʰ a̠ ŋ
곱하다	k o̞ pʰ a̠ d a̠
곳	k o̞ t̚
공	k o̞ ŋ
공갈치다	k o̞ː ŋ ɡ a̠ ʎ t͡ɕʰ i d a̠
공갈하다	k o̞ː ŋ ɡ a̠ ɾ ɦ a̠ d a̠
공강	k o̞ ŋ ɡ a̠ ŋ
공격전	k o̞ː ŋ ɡ j ʌ̹ k̚ t͡ɕ͈ ʌ̹ n
공격하다	k o̞ː ŋ ɡ j ʌ̹ kʰ a̠ d a̠
공교	k o̞ ŋ ɡ j o
공교롭다	k o̞ ŋ ɡ j o ɾ o̞ p̚ t͈ a̠
공국	k o̞ː ŋ ɡ u k̚
공급되다	k o̞ː ŋ ɡ ɯ p̚ t͈ w e̞ d a̠
공급자	k o̞ː ŋ ɡ ɯ p̚ t͡ɕ͈ a̠
공급하다	k o̞ː ŋ ɡ ɯ pʰ a̠ d a̠
공기	k o̞ ŋ ɡ i
공기방석	k o̞ ŋ ɡ i b a̠ ŋ sʰ ʌ̹ k̚
공기방석자동차	k o̞ ŋ ɡ i b a̠ ŋ sʰ ʌ̹ k̚ t͡ɕ͈ a̠ d o̞ ŋ t͡ɕʰ a̠
공략	k o̞ ŋ ɲ a̠ k̚
공리	k o̞ ŋ n i
공립	k o̞ ŋ n i p̚
공무	k o̞ ŋ m u
공문서	k o̞ ŋ m u n sʰ ʌ̹
공법	k o̞ ŋ p͈ ʌ̹ p̚
공변	k o̞ ŋ b j ʌ̹ n
공변되다	k o̞ ŋ b j ʌ̹ n d w e̞ d a̠
공보	k o̞ ŋ b o̞
공부벌레	k o̞ ŋ b u b ʌ̹ ɭ ɭ e̞
공부자	k o̞ː ŋ b u d͡ʑ a̠
공분	k o̞ ŋ b u n
공사하다	k o̞ ŋ sʰ a̠ ɦ a̠ d a̠
공상	k o̞ ŋ sʰ a̠ ŋ
공손	k o̞ ŋ sʰ o̞ n
공습	k o̞ ŋ sʰ ɯ p̚
공습하다	k o̞ ŋ sʰ ɯ pʰ a̠ d a̠
공식적	k o̞ ŋ ɕʰ i k̚ t͡ɕ͈ ʌ̹ k̚
공알	k o̞ː ŋ a̠ ɭ
공영	k o̞ ŋ j ʌ̹ ŋ
공유	k o̞ ŋ j u
공유하다	k o̞ː ŋ j u ɦ a̠ d a̠
공자	k o̞ ŋ d͡ʑ a̠
공작나비	k o̞ ŋ d͡ʑ a̠ ŋ n a̠ b i
공작원	k o̞ ŋ d͡ʑ a̠ ɡ w ʌ̹ n
공정가	k o̞ ŋ d͡ʑ ʌ̹ ŋ k͈ a̠
공주병	k o̞ ŋ d͡ʑ u p͈ j ʌ̹ ŋ
공중제비	k o̞ ŋ d͡ʑ u ŋ d͡ʑ e̞ b i
공증인	k o̞ ŋ d͡ʑ ɯ ŋ i n
공지하다	k o̞ ŋ d͡ʑ i ɦ a̠ d a̠
공직	k o̞ ŋ d͡ʑ i k̚
공차	k o̞ ŋ t͡ɕʰ a̠
공천	k o̞ ŋ t͡ɕʰ ʌ̹ n
공칠과삼	k o̞ ŋ t͡ɕʰ i ɭ ɡ w a̠ sʰ a̠ m
공판	k o̞ ŋ pʰ a̠ n
공평	k o̞ ŋ pʰ j ʌ̹ ŋ
공표	k o̞ ŋ pʰ j o
공표하다	k o̞ ŋ pʰ j o ɦ a̠ d a̠
공헌	k o̞ː ŋ ɦ ʌ̹ n
공훈	k o̞ ŋ β u n
공휴	k o̞ ŋ ʝ u
공휴일	k o̞ ŋ ʝ u i ɭ
곶	k o̞ t̚
곶감	k o̞ t̚ k͈ a̠ m
과	k w a̠
과거	k w a̠ ɡ ʌ̹
과거시제	k w a̠ː ɡ ʌ̹ ɕʰ i d͡ʑ e̞
과거하다	k w a̠ ɡ ʌ̹ ɦ a̠ d a̠
과금되다	k w a̠ ɡ ɯ m d w e̞ d a̠
과금하다	k w a̠ ɡ ɯ m ɦ a̠ d a̠
과다	k w a̠ː d a̠
과다하다	k w a̠ː d a̠ ɦ a̠ d a̠
과도기	k w a̠ː d o̞ ɡ i
과두제	k w a̠ː d u d͡ʑ e̞
과소평가	k w a̠ː sʰ o̞ pʰ j ʌ̹ ŋ ɡ a̠
과시하다	k w a̠ː ɕʰ i ɦ a̠ d a̠
과식하다	k w a̠ː ɕʰ i kʰ a̠ d a̠
과장되다	k w a̠ː d͡ʑ a̠ ŋ d w e̞ d a̠
과장하다	k w a̠ː d͡ʑ a̠ ŋ ɦ a̠ d a̠
과즙	k w a̠ː d͡ʑ ɯ p̚
과학기술	k w a̠ ɦ a̠ k̚ k i sʰ u ɭ
관건	k w a̠ n k͈ ʌ̹ n
관광하다	k w a̠ n ɡ w a̠ ŋ ɦ a̠ d a̠
관군	k w a̠ n ɡ u n
관능미	k w a̠ n n ɯ ŋ m i
관람자	k w a̠ ɭ ɭ a̠ m d͡ʑ a̠
관련되다	k w a̠ ʎ ʎ ʌ̹ n d w e̞ d a̠
관련하다	k w a̠ ʎ ʎ ʌ̹ n ɦ a̠ d a̠
관로	k w a̠ ɭ ɭ o̞
관료제	k w a̠ ʎ ʎ o d͡ʑ e̞
관방학	k w a̠ n b a̠ ŋ ɦ a̠ k̚
관수리	k w a̠ n sʰ u ɾ i
관심종자	k w a̠ n ɕʰ i m t͡ɕ o̞ ŋ d͡ʑ a̠
관장	k w a̠ ɲ d͡ʑ a̠ ŋ
관종	k w a̠ ɲ d͡ʑ o̞ ŋ
관중	k w a̠ ɲ d͡ʑ u ŋ
관청	k w a̠ ɲ t͡ɕʰ ʌ̹ ŋ
관하다	k w a̠ n ɦ a̠ d a̠
관화	k w a̠ n β w a̠
괄시	k w a̠ ɭ ɕ͈ i
괌	k w a̠ m
괌도	k w a̠ m d o̞
광	k w a̠ ŋ
광구	k w a̠ ŋ ɡ u
광기	k w a̠ ŋ k͈ i
광둥어	k w a̠ ŋ d u ŋ ʌ̹
광란	k w a̠ ŋ n a̠ n
광물학	k w a̠ː ŋ m u ɾ ɦ a̠ k̚
광복절	k w a̠ ŋ b o̞ k̚ t͡ɕ͈ ʌ̹ ɭ
광서	k w a̠ː ŋ sʰ ʌ̹
광신도	k w a̠ ŋ ɕʰ i n d o̞
광신자	k w a̠ ŋ ɕʰ i ɲ d͡ʑ a̠
광야	k w a̠ː ŋ j a̠
광음사전	k w a̠ ŋ ɯ m sʰ a̠ d͡ʑ ʌ̹ n
광인	k w a̠ ŋ i n
광자	k w a̠ ŋ d͡ʑ a̠
광자학	k w a̠ ŋ d͡ʑ a̠ ɦ a̠ k̚
광주	k w a̠ ŋ d͡ʑ u
광호흡	k w a̠ ŋ β o̞ ɣ ɯ p̚
광화학	k w a̠ ŋ β w a̠ ɦ a̠ k̚
괘	k w ɛː
괭이	k w ɛː ŋ i
괴	k w e̞ː
괴롭히다	k w e̞ ɾ o̞ pʰ i d a̠
괴이히	k w e̞ i ʝ i
괴혈병	k w e̞ː ʝ ʌ̹ ɭ p͈ j ʌ̹ ŋ
굉장하다	k w e̞ ŋ d͡ʑ a̠ ŋ ɦ a̠ d a̠
교	k j oː
교교	k j oː ɡ j o
교교하다	k j oː ɡ j o ɦ a̠ d a̠
교또	k j o t͈ o̞
교란되다	k j o ɾ a̠ n d w e̞ d a̠
교란하다	k j o ɾ a̠ n ɦ a̠ d a̠
교류하다	k j o ɾ j u ɦ a̠ d a̠
교만	k j o m a̠ n
교묘	k j o m j o
교미하다	k j o m i ɦ a̠ d a̠
교반	k j o b a̠ n
교사	k j o sʰ a̠
교사하다	k j o sʰ a̠ ɦ a̠ d a̠
교언	k j o ʌ̹ n
교육되다	k j oː j u k̚ t͈ w e̞ d a̠
교육하다	k j oː j u kʰ a̠ d a̠
교의	k j o ɰ i
교차위	k j o t͡ɕʰ a̠ ɥ i
교착	k j o t͡ɕʰ a̠ k̚
교파	k j oː pʰ a̠
교편	k j oː pʰ j ʌ̹ n
교화	k j oː β w a̠
교화소	k j oː β w a̠ sʰ o̞
교환되다	k j o β w a̠ n d w e̞ d a̠
교환하다	k j o β w a̠ n ɦ a̠ d a̠
교훈	k j oː β u n
구	k u
구걸하다	k u ɡ ʌ̹ ɾ ɦ a̠ d a̠
구결	k uː ɡ j ʌ̹ ɭ
구경군	k uː ɡ j ʌ̹ ŋ ɡ u n
구균	k u ɡ j u n
구기다	k u ɡ i d a̠
구기자나무	k u ɡ i d͡ʑ a̠ n a̠ m u
구기차	k u ɡ i t͡ɕʰ a̠
구나	k u n a̠
구니	k u n i
구니되다	k u n i d w e̞ d a̠
구니하다	k u n i ɦ a̠ d a̠
구독	k u d o̞ k̚
구독료	k u d o̞ ŋ ɲ o
구독자	k u d o̞ k̚ t͡ɕ͈ a̠
구독하다	k u d o̞ kʰ a̠ d a̠
구두	k u d u
구두점	k u d u t͡ɕ͈ ʌ̹ m
구들	k u d ɯ ɭ
구라	k u ɾ a̠
구로나	k u ɾ o̞ n a̠
구류되다	k u ɾ j u d w e̞ d a̠
구류하다	k u ɾ j u ɦ a̠ d a̠
구르다	k u ɾ ɯ d a̠
구리다	k u ɾ i d a̠
구마모또	k u m a̠ m o̞ t͈ o̞
구멍가게	k u m ʌ̹ ŋ ɡ a̠ ɡ e̞
구무럭구무럭	k u m u ɾ ʌ̹ k̚ k͈ u m u ɾ ʌ̹ k̚
구물구물	k u m u ɭ ɡ u m u ɭ
구미	k u m i
구미화	k u m i β w a̠
구별되다	k u b j ʌ̹ ɭ d w e̞ d a̠
구별하다	k u b j ʌ̹ ɾ ɦ a̠ d a̠
구보	k u b o̞
구부러지다	k u b u ɾ ʌ̹ d͡ʑ i d a̠
구분되다	k u b u n d w e̞ d a̠
구분하다	k u b u n ɦ a̠ d a̠
구석차기	k u sʰ ʌ̹ k̚ t͡ɕʰ a̠ ɡ i
구성되다	k u sʰ ʌ̹ ŋ d w e̞ d a̠
구세계	k u sʰ e̞ ɡ j e̞
구세군	k uː sʰ e̞ ɡ u n
구속되다	k u sʰ o̞ k̚ t͈ w e̞ d a̠
구속하다	k u sʰ o̞ kʰ a̠ d a̠
구실	k u ɕʰ i ɭ
구실잣밤나무	k u ɕʰ i ʎ d͡ʑ a̠ t̚ p͈ a̠ m n a̠ m u
구아니딘	k u a̠ n i d i n
구아바	k u a̠ b a̠
구월	k u w ʌ̹ ɭ
구입하다	k u i pʰ a̠ d a̠
구적	k u d͡ʑ ʌ̹ k̚
구조	k u d͡ʑ o̞
구청	k u t͡ɕʰ ʌ̹ ŋ
구축하다	k u t͡ɕʰ u kʰ a̠ d a̠
구출하다	k uː t͡ɕʰ u ɾ ɦ a̠ d a̠
구타하다	k u tʰ a̠ ɦ a̠ d a̠
구토하다	k u tʰ o̞ ɦ a̠ d a̠
구판	k u pʰ a̠ n
구하다	k u ɦ a̠ d a̠
구현되다	k u ʝ ʌ̹ n d w e̞ d a̠
구현하다	k u ʝ ʌ̹ n ɦ a̠ d a̠
구혼하다	k u β o̞ n ɦ a̠ d a̠
구휼	k uː ʝ u ɭ
국	k u k̚
국가보안법	k u k̚ k͈ a̠ b o̞ a̠ n b ʌ̹ p̚
국경일	k u k̚ k͈ j ʌ̹ ŋ i ɭ
국룰	k u ŋ n u ɭ
국무총리	k u ŋ m u t͡ɕʰ o̞ ŋ n i
국문	k u ŋ m u n
국보	k u k̚ p͈ o̞
국비	k u k̚ p͈ i
국뽕	k u k̚ p͈ o̞ ŋ
국수나무	k u k s͈ u n a̠ m u
국어학	k u ɡ ʌ̹ ɦ a̠ k̚
국영하다	k u ɡ j ʌ̹ ŋ ɦ a̠ d a̠
국유화하다	k u ɡ j u β w a̠ ɦ a̠ d a̠
국제가	k u k̚ t͡ɕ͈ e̞ ɡ a̠
국제보조어	k u k̚ t͡ɕ͈ e̞ b o̞ d͡ʑ o̞ ʌ̹
국제어	k u k̚ t͡ɕ͈ e̞ ʌ̹
국제적	k u k̚ t͡ɕ͈ e̞ d͡ʑ ʌ̹ k̚
국한	k u kʰ a̠ n
군	k u n
군기훈련	k u n ɡ i β uː ʎ ʎ ʌ̹ n
군디	k u n d i
군마	k u n m a̠
군벌	k u n b ʌ̹ ɭ
군사경찰	k uː n sʰ a̠ ɡ j ʌ̹ ŋ t͡ɕʰ a̠ ɭ
군사력	k u n sʰ a̠ ɾ j ʌ̹ k̚
군사화	k u n sʰ a̠ β w a̠
군주국	k u ɲ d͡ʑ u ɡ u k̚
군중가요	k u ɲ d͡ʑ u ŋ ɡ a̠ j o
군집	k u ɲ d͡ʑ i p̚
군체	k u ɲ t͡ɕʰ e̞
군함	k u n ɦ a̠ m
군함조	k u n ɦ a̠ m d͡ʑ o̞
굳기름	k u t̚ k͈ i ɾ ɯ m
굳어지다	k u d ʌ̹ d͡ʑ i d a̠
굴	k u ɭ
굴러가다	k u ɭ ɭ ʌ̹ ɡ a̠ d a̠
굴리다	k uː ʎ ʎ i d a̠
굴욕	k u ɾ j o k̚
굴종	k u ʎ t͡ɕ͈ o̞ ŋ
굴참나무	k u ʎ t͡ɕʰ a̠ m n a̠ m u
굵다랗다	k uː k̚ t͈ a̠ ɾ a̠ tʰ a̠
굼뜨다	k u m t͈ ɯ d a̠
굼적	k u m d͡ʑ ʌ̹ k̚
굼지럭	k u m d͡ʑ i ɾ ʌ̹ k̚
굼틀굼틀	k u m tʰ ɯ ɭ ɡ u m tʰ ɯ ɭ
굽다	k u p̚ t͈ a̠
굽신거리다	k u p ɕ͈ i n ɡ ʌ̹ ɾ i d a̠
굿	k u t̚
궁둥이	k u ŋ d u ŋ i
궁륭	k u ŋ ɲ u ŋ
궁예	k u ŋ j e̞
궁현	k u ŋ ʝ ʌ̹ n
궂다	k u t̚ t͈ a̠
권	k w ʌ̹ n
권투하다	k w ʌ̹ n tʰ u ɦ a̠ d a̠
궐녀	k w ʌ̹ ʎ ʎ ʌ̹
궐련	k w ʌ̹ ʎ ʎ ʌ̹ n
궤	k w e̞
귀	k ɥ i
귀갓길	k ɥ iː ɡ a̠ t̚ k͈ i ɭ
귀결	k ɥ iː ɡ j ʌ̹ ɭ
귀녀	k ɥ iː ɲ ʌ̹
귀두	k ɥ i d u
귀밑털	k ɥ i m i t̚ tʰ ʌ̹ ɭ
귀부인	k ɥ iː b u i n
귀빈	k ɥ iː b i n
귀뿔논병아리	k ɥ i p͈ u ɭ ɭ o̞ n b j ʌ̹ ŋ a̠ ɾ i
귀상어	k ɥ i sʰ a̠ ŋ ʌ̹
귀순	k ɥ iː sʰ u n
귀엣말	k ɥ i e̞ n m a̠ ɭ
귀엣말하다	k ɥ i e̞ n m a̠ ɾ ɦ a̠ d a̠
귀염둥이	k ɥ iː j ʌ̹ m d u ŋ i
귀접	k ɥ iː d͡ʑ ʌ̹ p̚
귀지	k ɥ i d͡ʑ i
귀하	k ɥ iː ɦ a̠
귓결	k ɥ i t̚ k͈ j ʌ̹ ɭ
귓구멍	k ɥ i t̚ k͈ u m ʌ̹ ŋ
규률	k j u ɾ j u ɭ
규소수지	k j u sʰ o̞ sʰ u d͡ʑ i
규정되다	k j u d͡ʑ ʌ̹ ŋ d w e̞ d a̠
규정하다	k j u d͡ʑ ʌ̹ ŋ ɦ a̠ d a̠
규제되다	k j u d͡ʑ e̞ d w e̞ d a̠
규제하다	k j u d͡ʑ e̞ ɦ a̠ d a̠
규탄되다	k j u tʰ a̠ n d w e̞ d a̠
규탄하다	k j u tʰ a̠ n ɦ a̠ d a̠
균계	k j u n ɡ j e̞
균류	k j u ʎ ʎ u
귤	k j u ɭ
그	k ɯ
그끄제	k ɯ k͈ ɯ d͡ʑ e̞
그노시스	k ɯ n o̞ ɕʰ i sʰ ɯ
그라피토	k͈ ɯ ɾ a̠ pʰ i tʰ o̞
그랴	k ɯ ɾ j a̠
그러자	k ɯ ɾ ʌ̹ d͡ʑ a̠
그런지	k ɯ ɾ ʌ̹ ɲ d͡ʑ i
그레고리오	k ɯ ɾ e̞ ɡ o̞ ɾ i o̞
그레이비	k ɯ ɾ e̞ i b i
그레이트브리튼	k ɯ ɾ e̞ i tʰ ɯ b ɯ ɾ i tʰ ɯ n
그렐린	k ɯ ɾ e̞ ʎ ʎ i n
그려지다	k ɯ ɾ j ʌ̹ d͡ʑ i d a̠
그루빠	k ɯ ɾ u p͈ a̠
그루지야어	k ɯ ɾ u d͡ʑ i j a̠ ʌ̹
그루터기	k ɯ ɾ u tʰ ʌ̹ ɡ i
그르치다	k ɯ ɾ ɯ t͡ɕʰ i d a̠
그리마	k ɯ ɾ i m a̠
그림기호	k ɯː ɾ i m k i β o̞
그림분필	k ɯ ɾ i m b u n pʰ i ɭ
그림엽서	k ɯː ɾ i m j ʌ̹ p s͈ ʌ̹
그림영화	k ɯː ɾ i m j ʌ̹ ŋ β w a̠
그림풀이	k ɯ ɾ i m pʰ u ɾ i
그만두다	k ɯ m a̠ n d u d a̠
그물기름갖	k ɯ m u ɭ ɡ i ɾ ɯ m ɡ a̠ t̚
그위	k ɯ ɥ i
그을리다	k ɯ ɯ ʎ ʎ i d a̠
그을음	k ɯ ɯ ɾ ɯ m
그치	k ɯ t͡ɕʰ i
극광	k ɯ k̚ k͈ w a̠ ŋ
극기	k ɯ k̚ k͈ i
극기하다	k ɯ k̚ k͈ i ɦ a̠ d a̠
극복하다	k ɯ k̚ p͈ o̞ kʰ a̠ d a̠
극심	k ɯ k ɕ͈ i m
극적	k ɯ k̚ t͡ɕ͈ ʌ̹ k̚
극중	k ɯ k̚ t͡ɕ͈ u ŋ
극호	k ɯ kʰ o̞
근거하다	k ɯ n ɡ ʌ̹ ɦ a̠ d a̠
근면하다	k ɯː n m j ʌ̹ n ɦ a̠ d a̠
근본주의	k ɯ n b o̞ ɲ d͡ʑ u ɰ i
근사하다	k ɯː n sʰ a̠ ɦ a̠ d a̠
근자감	k ɯ ɲ d͡ʑ a̠ ɡ a̠ m
근절하다	k ɯ ɲ d͡ʑ ʌ̹ ɾ ɦ a̠ d a̠
근접하다	k ɯː ɲ d͡ʑ ʌ̹ pʰ a̠ d a̠
근지럽다	k ɯ ɲ d͡ʑ i ɾ ʌ̹ p̚ t͈ a̠
근친	k ɯ ɲ t͡ɕʰ i n
근친상간	k ɯ ɲ t͡ɕʰ i n sʰ a̠ ŋ ɡ a̠ n
근황	k ɯː n β w a̠ ŋ
글	k ɯ ɭ
글고	k ɯ ɭ ɡ o̞
글라스노스트	k ɯ ɭ ɭ a̠ sʰ ɯ n o̞ sʰ ɯ tʰ ɯ
글쇠	k ɯ ɭ sʰ w e̞
글쇠판	k ɯ ɭ sʰ w e̞ pʰ a̠ n
글쓴이	k ɯ ɭ s͈ ɯ n i
글월	k ɯ ɾ w ʌ̹ ɭ
금	k ɯ m
금강모치	k ɯ m ɡ a̠ ŋ m o̞ t͡ɕʰ i
금강초롱꽃	k ɯ m ɡ a̠ ŋ t͡ɕʰ o̞ ɾ o̞ ŋ k͈ o̞ t̚
금귤	k ɯ m ɡ j u ɭ
금기	k ɯː m ɡ i
금기시	k ɯː m ɡ i ɕʰ i
금기시되다	k ɯː m ɡ i ɕʰ i d w e̞ d a̠
금기시하다	k ɯː m ɡ i ɕʰ i ɦ a̠ d a̠
금기하다	k ɯː m ɡ i ɦ a̠ d a̠
금번	k ɯ m b ʌ̹ n
금사빠	k ɯ m sʰ a̠ p͈ a̠
금석학	k ɯ m sʰ ʌ̹ kʰ a̠ k̚
금수저	k ɯ m sʰ u d͡ʑ ʌ̹
금월	k ɯ m w ʌ̹ ɭ
금지하다	k ɯː m d͡ʑ i ɦ a̠ d a̠
금하다	k ɯː m ɦ a̠ d a̠
급감하다	k ɯ p̚ k͈ a̠ m ɦ a̠ d a̠
급박	k ɯ p̚ p͈ a̠ k̚
급병	k ɯ p̚ p͈ j ʌ̹ ŋ
급속	k ɯ p s͈ o̞ k̚
급여되다	k ɯ b j ʌ̹ d w e̞ d a̠
급여하다	k ɯ b j ʌ̹ ɦ a̠ d a̠
급증하다	k ɯ p̚ t͡ɕ͈ ɯ ŋ ɦ a̠ d a̠
긍정	k ɯ ŋ d͡ʑ ʌ̹ ŋ
기	k i
기결수	k i ɡ j ʌ̹ ɭ sʰ u
기계단정	k i ɡ j e̞ d a̠ ɲ d͡ʑ ʌ̹ ŋ
기계화	k i ɡ j e̞ β w a̠
기니	k i n i
기니비사우	k i n i b i sʰ a̠ u
기다랗다	k iː d a̠ ɾ a̠ tʰ a̠
기동	k i d o̞ ŋ
기따가	k i t͈ a̠ ɡ a̠
기똥차다	k i t͈ o̞ ŋ t͡ɕʰ a̠ d a̠
기록영화	k i ɾ o̞ ɡ j ʌ̹ ŋ β w a̠
기름갖	k i ɾ ɯ m ɡ a̠ t̚
기름사탕	k i ɾ ɯ m sʰ a̠ tʰ a̠ ŋ
기름장	k i ɾ ɯ m d͡ʑ a̠ ŋ
기리다	k i ɾ i d a̠
기마	k i m a̠
기마하다	k i m a̠ ɦ a̠ d a̠
기만되다	k i m a̠ n d w e̞ d a̠
기모찌	k i m o̞ t͡ɕ͈ i
기묘	k i m j o
기묘하다	k i m j o ɦ a̠ d a̠
기미상궁	k i m i sʰ a̠ ŋ ɡ u ŋ
기민하다	k i m i n ɦ a̠ d a̠
기밀	k i m i ɭ
기발	k i b a̠ ɭ
기부금	k i b u ɡ ɯ m
기쁨조	k i p͈ ɯ m d͡ʑ o̞
기세하다	k i sʰ e̞ ɦ a̠ d a̠
기소되다	k i sʰ o̞ d w e̞ d a̠
기소하다	k i sʰ o̞ ɦ a̠ d a̠
기시감	k i ɕʰ i ɡ a̠ m
기실	k i ɕʰ i ɭ
기약하다	k i j a̠ kʰ a̠ d a̠
기어	k i ʌ̹
기어가다	k i ʌ̹ ɡ a̠ d a̠
기억되다	k i ʌ̹ k̚ t͈ w e̞ d a̠
기업하다	k i ʌ̹ pʰ a̠ d a̠
기왕증	k i w a̠ ŋ t͡ɕ͈ ɯ ŋ
기요틴	k i j o tʰ i n
기원하다	k i w ʌ̹ n ɦ a̠ d a̠
기이	k i i
기이다	k i i d a̠
기입하다	k i i pʰ a̠ d a̠
기자회견	k i d͡ʑ a̠ β w e̞ ɡ j ʌ̹ n
기장	k i d͡ʑ a̠ ŋ
기절하다	k i d͡ʑ ʌ̹ ɾ ɦ a̠ d a̠
기제	k i d͡ʑ e̞
기증	k i d͡ʑ ɯ ŋ
기증되다	k i d͡ʑ ɯ ŋ d w e̞ d a̠
기증자	k i d͡ʑ ɯ ŋ d͡ʑ a̠
기증하다	k i d͡ʑ ɯ ŋ ɦ a̠ d a̠
기찻길	k i t͡ɕʰ a̠ t̚ k͈ i ɭ
기초하다	k i t͡ɕʰ o̞ ɦ a̠ d a̠
기침하다	k i t͡ɕʰ i m ɦ a̠ d a̠
기피	k i pʰ i
기필코	k i pʰ i ɭ kʰ o̞
기하학	k i ɦ a̠ ɦ a̠ k̚
기후학	k i β u ɦ a̠ k̚
긴발톱첨서	k i n b a̠ ɭ tʰ o̞ p̚ t͡ɕʰ ʌ̹ m sʰ ʌ̹
긴업	k iː n ʌ̹ p̚
긴장되다	k i ɲ d͡ʑ a̠ ŋ d w e̞ d a̠
긴장하다	k i ɲ d͡ʑ a̠ ŋ ɦ a̠ d a̠
긴털쥐	k i n tʰ ʌ̹ ʎ d͡ʑ ɥ i
길	k i ɭ
길강아지	k i ɭ k͈ a̠ ŋ a̠ d͡ʑ i
길동무	k i ɭ t͈ o̞ ŋ m u
길르앗	k i ɭ ɭ ɯ a̠ t̚
길림	k i ʎ ʎ i m
길막	k i ɭ m a̠ k̚
길모퉁이	k i ɭ m o̞ tʰ u ŋ i
길몽	k i ɭ m o̞ ŋ
길벗	k i ɭ p͈ ʌ̹ t̚
길쌈	k i ɭ s͈ a̠ m
길운	k i ɾ u n
길차다	k iː ʎ t͡ɕʰ a̠ d a̠
길하다	k i ɾ ɦ a̠ d a̠
김	k i m
김멜	k i m m e̞ ɭ
김심	k iː m ɕʰ i m
김치국	k i m t͡ɕʰ i k͈ u k̚
김치녀	k i m t͡ɕʰ i ɲ ʌ̹
깁	k iː p̚
깁다	k iː p̚ t͈ a̠
깁스	k i p s͈ ɯ
깃	k i t̚
깊은	k i pʰ ɯ n
까	k͈ a̠
까까	k͈ a̠ k͈ a̠
까꿍	k͈ a̠ k͈ u ŋ
까뀌	k͈ a̠ː k͈ ɥ i
까끄라기	k͈ a̠ k͈ ɯ ɾ a̠ ɡ i
까다	k͈ a̠ d a̠
까마귓과	k͈ a̠ m a̠ ɡ ɥ i t̚ k͈ w a̠
까마중	k͈ a̠ m a̠ d͡ʑ u ŋ
까막	k͈ a̠ m a̠ k̚
까막까치밥나무	k͈ a̠ m a̠ k̚ k͈ a̠ t͡ɕʰ i b a̠ m n a̠ m u
까막딱따구리	k͈ a̠ m a̠ k̚ t͈ a̠ k̚ t͈ a̠ ɡ u ɾ i
까막잡기	k͈ a̠ m a̠ k̚ t͡ɕ͈ a̠ p̚ k͈ i
까먹다	k͈ a̠ m ʌ̹ k̚ t͈ a̠
까메룬	k͈ a̠ m e̞ ɾ u n
까물까물	k͈ a̠ m u ɭ k͈ a̠ m u ɭ
까자	k͈ a̠ d͡ʑ a̠
까자흐스딴	k͈ a̠ d͡ʑ a̠ ɣ ɯ sʰ ɯ t͈ a̠ n
까치발	k͈ a̠ t͡ɕʰ i b a̠ ɭ
까타르	k͈ a̠ tʰ a̠ ɾ ɯ
깐부	k͈ a̠ n b u
깔깔이	k͈ a̠ ɭ k͈ a̠ ɾ i
깔다	k͈ a̠ ɭ d a̠
깜빡하다	k͈ a̠ m p͈ a̠ kʰ a̠ d a̠
깜작깜작	k͈ a̠ m d͡ʑ a̠ k̚ k͈ a̠ m d͡ʑ a̠ k̚
깡치	k͈ a̠ ŋ t͡ɕʰ i
깨	k͈ ɛː
꺅도요	k͈ j a̠ k̚ t͈ o̞ j o
꺼	k͈ ʌ̹
꺽저구	k͈ ʌ̹ k̚ t͡ɕ͈ ʌ̹ ɡ u
꺽저기	k͈ ʌ̹ k̚ t͡ɕ͈ ʌ̹ ɡ i
꺽정이	k͈ ʌ̹ k̚ t͡ɕ͈ ʌ̹ ŋ i
껌	k͈ ʌ̹ m
껌벅	k͈ ʌ̹ m b ʌ̹ k̚
껌뻑	k͈ ʌ̹ m p͈ ʌ̹ k̚
께끈하다	k͈ e̞ k͈ ɯ n ɦ a̠ d a̠
께낀하다	k͈ e̞ k͈ i n ɦ a̠ d a̠
껴안다	k͈ j ʌ̹ a̠ n t͈ a̠
꼬다	k͈ o̞ː d a̠
꼬리치레	k͈ o̞ ɾ i t͡ɕʰ i ɾ e̞
꼬리치레도롱뇽	k͈ o̞ ɾ i t͡ɕʰ i ɾ e̞ d o̞ ɾ o̞ ŋ ɲ o ŋ
꼬마뒤쥐	k͈ o̞ m a̠ d ɥ i d͡ʑ ɥ i
